annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist,stat_unreviewed_annotations,stat_hot,stat_pageviews,primary_artist_api_path,primary_artist_header_image_url,primary_artist_id,primary_artist_image_url,primary_artist_is_meme_verified,primary_artist_is_verified,primary_artist_name,primary_artist_url,primary_artist_iq,stat_concurrents
45,/songs/4388058,PNL,Au DD by PNL,https://images.genius.com/10afcc8eab11603dc89cad2961098baa.300x154x1.jpg,https://images.genius.com/10afcc8eab11603dc89cad2961098baa.801x410x1.jpg,4388058,3082514,complete,/Pnl-au-dd-lyrics,121.0,https://genius.com/Pnl-au-dd-sample,"{'year': 2019, 'month': 3, 'day': 22}","March 22, 2019","Mar. 22, 2019",https://images.genius.com/15e01c0c98335e5c088991eac704ebe9.300x300x1.jpg,https://images.genius.com/15e01c0c98335e5c088991eac704ebe9.1000x1000x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 1319766}",Au DD,Au DD,https://genius.com/Pnl-au-dd-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",2,False,1319766.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
41,/songs/2456383,PNL,DA by PNL,https://images.genius.com/b56d5f3dc975a97bd0b2680008c5674a.300x96x1.jpg,https://images.genius.com/b56d5f3dc975a97bd0b2680008c5674a.1000x319x1.jpg,2456383,292723,complete,/Pnl-da-lyrics,103.0,https://genius.com/Pnl-da-sample,"{'year': 2016, 'month': 4, 'day': 15}","April 15, 2016","Apr. 15, 2016",https://images.genius.com/9ce4218559f0bba27f108909f327a6a8.300x286x1.jpg,https://images.genius.com/9ce4218559f0bba27f108909f327a6a8.869x827x1.jpg,"{'unreviewed_annotations': 1, 'hot': False, 'pageviews': 1294886}",DA,DA,https://genius.com/Pnl-da-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",1,False,1294886.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
54,/songs/2849098,PNL,Jusqu'au dernier gramme by PNL,https://images.genius.com/5898204e22b0eae912648957f6f2c83a.300x169x1.jpg,https://images.genius.com/5898204e22b0eae912648957f6f2c83a.1000x563x1.jpg,2849098,1105397,complete,/Pnl-jusquau-dernier-gramme-lyrics,36.0,https://genius.com/Pnl-jusquau-dernier-gramme-sample,"{'year': 2016, 'month': 9, 'day': 16}","September 16, 2016","Sep. 16, 2016",https://images.genius.com/ef4849be3da5fdb22ea9e656679be3a3.300x300x1.jpg,https://images.genius.com/ef4849be3da5fdb22ea9e656679be3a3.600x600x1.jpg,"{'unreviewed_annotations': 5, 'hot': False, 'pageviews': 1130436}",Jusqu’au dernier gramme,Jusqu'au dernier gramme,https://genius.com/Pnl-jusquau-dernier-gramme-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",5,False,1130436.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
30,/songs/2109144,PNL,Le monde ou rien by PNL,https://images.genius.com/9b60ceff8e666ba178a60e7698ebabbe.300x140x1.png,https://images.genius.com/9b60ceff8e666ba178a60e7698ebabbe.599x279x1.png,2109144,292723,complete,/Pnl-le-monde-ou-rien-lyrics,50.0,https://genius.com/Pnl-le-monde-ou-rien-sample,"{'year': 2015, 'month': 6, 'day': 12}","June 12, 2015","Jun. 12, 2015",https://images.genius.com/9d00b19df75b94f3f4003744e850b705.220x220x1.jpg,https://images.genius.com/9d00b19df75b94f3f4003744e850b705.220x220x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 1002293}",Le monde ou rien,Le monde ou rien,https://genius.com/Pnl-le-monde-ou-rien-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",0,False,1002293.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
41,/songs/2834671,PNL,Naha by PNL,https://images.genius.com/cf9ef591769c4f9350521d3afdc8c9f7.300x121x1.png,https://images.genius.com/cf9ef591769c4f9350521d3afdc8c9f7.1000x402x1.png,2834671,182842,complete,/Pnl-naha-lyrics,56.0,https://genius.com/Pnl-naha-sample,"{'year': 2016, 'month': 9, 'day': 16}","September 16, 2016","Sep. 16, 2016",https://images.genius.com/4ccd7dbdcba262ef9e10b26f4f1f8a8e.300x300x1.jpg,https://images.genius.com/4ccd7dbdcba262ef9e10b26f4f1f8a8e.894x894x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 976431}",Naha,Naha,https://genius.com/Pnl-naha-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",2,False,976431.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
47,/songs/3797075,PNL,À l'ammoniaque by PNL,https://images.genius.com/f956c83ef8e30acf2a73d7279db8ee80.300x150x1.png,https://images.genius.com/f956c83ef8e30acf2a73d7279db8ee80.1000x500x1.png,3797075,3082514,complete,/Pnl-a-lammoniaque-lyrics,57.0,https://genius.com/Pnl-a-lammoniaque-sample,"{'year': 2018, 'month': 6, 'day': 22}","June 22, 2018","Jun. 22, 2018",https://images.genius.com/6dc2e56b3d290d06ec0b24799be2cc39.300x300x1.jpg,https://images.genius.com/6dc2e56b3d290d06ec0b24799be2cc39.500x500x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 862845}",À l’ammoniaque,À l'ammoniaque,https://genius.com/Pnl-a-lammoniaque-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",2,False,862845.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
30,/songs/2833790,PNL,Onizuka by PNL,https://images.genius.com/9c31be94b24348fdec2afd04ff187a4c.300x169x1.png,https://images.genius.com/9c31be94b24348fdec2afd04ff187a4c.855x483x1.png,2833790,182842,complete,/Pnl-onizuka-lyrics,37.0,https://genius.com/Pnl-onizuka-sample,"{'year': 2016, 'month': 9, 'day': 16}","September 16, 2016","Sep. 16, 2016",https://images.genius.com/d5571b8551a5f29e136478a06dbc2e60.300x300x1.jpg,https://images.genius.com/d5571b8551a5f29e136478a06dbc2e60.750x750x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 830246}",Onizuka,Onizuka,https://genius.com/Pnl-onizuka-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",2,False,830246.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
30,/songs/2835042,PNL,Bené by PNL,https://images.genius.com/ffb674caf1204c3f662afb3c16632f80.300x169x1.jpg,https://images.genius.com/ffb674caf1204c3f662afb3c16632f80.1000x563x1.jpg,2835042,142424,complete,/Pnl-bene-lyrics,21.0,https://genius.com/Pnl-bene-sample,"{'year': 2016, 'month': 9, 'day': 16}","September 16, 2016","Sep. 16, 2016",https://images.genius.com/4ccd7dbdcba262ef9e10b26f4f1f8a8e.300x300x1.jpg,https://images.genius.com/4ccd7dbdcba262ef9e10b26f4f1f8a8e.894x894x1.jpg,"{'unreviewed_annotations': 3, 'hot': False, 'pageviews': 721966}",Bené,Bené,https://genius.com/Pnl-bene-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",3,False,721966.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
32,/songs/2332451,PNL,Oh Lala by PNL,https://images.genius.com/d60fe3c0e3eeb672eb407b73ae425069.300x300x1.jpg,https://images.genius.com/d60fe3c0e3eeb672eb407b73ae425069.1000x1000x1.jpg,2332451,67668,complete,/Pnl-oh-lala-lyrics,38.0,https://genius.com/Pnl-oh-lala-sample,"{'year': 2015, 'month': 10, 'day': 23}","October 23, 2015","Oct. 23, 2015",https://images.genius.com/d60fe3c0e3eeb672eb407b73ae425069.300x300x1.jpg,https://images.genius.com/d60fe3c0e3eeb672eb407b73ae425069.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 679747}",Oh Lala,Oh Lala,https://genius.com/Pnl-oh-lala-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",0,False,679747.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
27,/songs/2849100,PNL,Bambina by PNL,https://images.genius.com/ef4849be3da5fdb22ea9e656679be3a3.300x300x1.jpg,https://images.genius.com/ef4849be3da5fdb22ea9e656679be3a3.600x600x1.jpg,2849100,169443,complete,/Pnl-bambina-lyrics,13.0,https://genius.com/Pnl-bambina-sample,"{'year': 2016, 'month': 9, 'day': 16}","September 16, 2016","Sep. 16, 2016",https://images.genius.com/ef4849be3da5fdb22ea9e656679be3a3.300x300x1.jpg,https://images.genius.com/ef4849be3da5fdb22ea9e656679be3a3.600x600x1.jpg,"{'unreviewed_annotations': 3, 'hot': False, 'pageviews': 617180}",Bambina,Bambina,https://genius.com/Pnl-bambina-lyrics,[],"{'api_path': '/artists/335710', 'header_image_url': 'https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg', 'id': 335710, 'image_url': 'https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'PNL', 'url': 'https://genius.com/artists/Pnl'}",3,False,617180.0,/artists/335710,https://images.genius.com/e0b082e0bca9885108369e47143575a1.747x382x1.jpg,335710,https://images.genius.com/da2956bb71902502215a8c8db8d0faf1.383x383x1.jpg,False,False,PNL,https://genius.com/artists/Pnl,,
